2020-07-08 08:49:08.501 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 321 ms
2020-07-08 08:49:08.593 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-07-08 08:49:08.610 [restartedMain] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page template: index
2020-07-08 08:49:08.679 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2020-07-08 08:49:08.689 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-07-08 08:49:08.692 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path '/demo'
2020-07-08 08:49:08.697 [restartedMain] INFO  c.example.demo.SpringBootDemo10MybatisApplication - Started SpringBootDemo10MybatisApplication in 0.562 seconds (JVM running for 19.427)
2020-07-08 08:49:08.700 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2020-07-08 08:50:11.465 [Thread-168] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-07-08 08:50:11.539 [restartedMain] INFO  c.example.demo.SpringBootDemo10MybatisApplication - Starting SpringBootDemo10MybatisApplication on DESKTOP-JM6IDBQ with PID 11720 (E:\MyEclipse\spring-\spring-boot-demo10-mybatis2\target\classes started by sff in E:\MyEclipse\spring-\spring-boot-demo10-mybatis2)
2020-07-08 08:50:11.539 [restartedMain] INFO  c.example.demo.SpringBootDemo10MybatisApplication - No active profile set, falling back to default profiles: default
2020-07-08 08:50:11.800 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-07-08 08:50:11.800 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-07-08 08:50:11.801 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-07-08 08:50:11.801 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.36]
2020-07-08 08:50:11.820 [restartedMain] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/demo] - Initializing Spring embedded WebApplicationContext
2020-07-08 08:50:11.820 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 278 ms
2020-07-08 08:50:11.916 [restartedMain] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-07-08 08:50:11.932 [restartedMain] INFO  o.s.b.a.web.servlet.WelcomePageHandlerMapping - Adding welcome page template: index
2020-07-08 08:50:11.993 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2020-07-08 08:50:11.999 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-07-08 08:50:12.003 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path '/demo'
2020-07-08 08:50:12.005 [restartedMain] INFO  c.example.demo.SpringBootDemo10MybatisApplication - Started SpringBootDemo10MybatisApplication in 0.501 seconds (JVM running for 82.735)
2020-07-08 08:50:12.006 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2020-07-08 08:50:42.691 [Thread-332] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-07-08 08:50:42.758 [restartedMain] INFO  c.example.demo.SpringBootDemo10MybatisApplication - Starting SpringBootDemo10MybatisApplication on DESKTOP-JM6IDBQ with PID 11720 (E:\MyEclipse\spring-\spring-boot-demo10-mybatis2\target\classes started by sff in E:\MyEclipse\spring-\spring-boot-demo10-mybatis2)
